Year,Median Monthly Rent,CPI_Adjusted_Rent
1990,447,1072.83078041316
2000,602,1096.6363414634147
2010,855,1229.978056095682
2015,959,1269.2243636532403
2016,981,1282.1663909802633
2017,1012,1295.0932930809402
2018,1058,1321.6794513892485
2019,1097,1346.009821753365
2020,1091,1322.3344409627105
2021,1300,1504.9477801970697
2023,1347,1386.728945002002
